acceleration_x_mean,acceleration_x_std,acceleration_x_min,acceleration_x_median,acceleration_x_max,acceleration_x_sum,acceleration_y_mean,acceleration_y_std,acceleration_y_min,acceleration_y_median,acceleration_y_max,acceleration_y_sum,acceleration_z_mean,acceleration_z_std,acceleration_z_min,acceleration_z_median,acceleration_z_max,acceleration_z_sum,rssi_Kitchen_AP_mean,rssi_Kitchen_AP_std,rssi_Kitchen_AP_min,rssi_Kitchen_AP_median,rssi_Kitchen_AP_max,rssi_Kitchen_AP_sum,rssi_Lounge_AP_mean,rssi_Lounge_AP_std,rssi_Lounge_AP_min,rssi_Lounge_AP_median,rssi_Lounge_AP_max,rssi_Lounge_AP_sum,rssi_Upstairs_AP_mean,rssi_Upstairs_AP_std,rssi_Upstairs_AP_min,rssi_Upstairs_AP_median,rssi_Upstairs_AP_max,rssi_Upstairs_AP_sum,rssi_Study_AP_mean,rssi_Study_AP_std,rssi_Study_AP_min,rssi_Study_AP_median,rssi_Study_AP_max,rssi_Study_AP_sum
0.3832,0.12023543570844662,0.056,0.436,0.51,7.664,0.8415000000000001,0.0391503512117069,0.726,0.855,0.882,16.830000000000002,0.1046,0.08797522378488162,0.03,0.07,0.334,2.092,-77.4,2.416609194718914,-82.0,-77.0,-75.0,-1548.0,,,,,,0.0,-75.6,1.2,-78.0,-75.0,-75.0,-1512.0,-79.0,4.242640687119285,-87.0,-78.0,-75.0,-1580.0
-0.38020000000000004,0.21411015856329657,-0.57,-0.511,0.07,-7.604000000000001,0.5288999999999999,0.20219740354416027,0.312,0.42,0.88,10.578,0.772,0.19499641022336797,0.304,0.819,1.02,15.440000000000001,-88.8,1.3266499161421597,-91.0,-89.0,-87.0,-1776.0,,,,,,0.0,-83.6,3.720215047547655,-90.0,-84.0,-79.0,-1672.0,-78.0,1.5491933384829668,-81.0,-77.0,-77.0,-1560.0
-0.5344,0.014444376068214243,-0.558,-0.538,-0.498,-10.688,0.3514,0.01847268253394725,0.31,0.353,0.398,7.028,0.8052999999999999,0.009945350672550432,0.792,0.801,0.832,16.105999999999998,-90.6,2.244994432064365,-95.0,-90.0,-89.0,-1812.0,,,,,,0.0,-85.8,0.39999999999999997,-86.0,-86.0,-85.0,-1716.0,-77.8,0.39999999999999997,-78.0,-78.0,-77.0,-1556.0
-0.5455,0.010428326807307101,-0.568,-0.544,-0.524,-10.91,0.3474,0.011867602959317427,0.322,0.349,0.37,6.9479999999999995,0.7953,0.012004582458378146,0.764,0.798,0.812,15.906,-89.8,0.4,-90.0,-90.0,-89.0,-1796.0,,,,,,0.0,-86.75,0.82915619758885,-88.0,,-86.0,-1388.0,-78.0,0.0,-78.0,-78.0,-78.0,-1560.0
-0.5461,0.00560267793113258,-0.56,-0.544,-0.538,-10.922,0.35129999999999995,0.007328710664230091,0.336,0.353,0.36,7.025999999999999,0.7909,0.012672410978184077,0.754,0.794,0.806,15.818000000000001,-90.0,0.0,-90.0,-90.0,-90.0,-1800.0,,,,,,0.0,-87.2,0.7483314773547882,-88.0,-87.0,-86.0,-1744.0,-78.0,0.0,-78.0,-78.0,-78.0,-1560.0
-0.5553999999999999,0.019412367192076268,-0.616,-0.548,-0.538,-11.107999999999999,0.3601,0.01742957257077752,0.34,0.353,0.424,7.202,0.7906000000000001,0.021176401960673122,0.724,0.797,0.816,15.812000000000001,-91.2,1.4696938456699067,-93.0,-90.0,-90.0,-1824.0,,,,,,0.0,-86.6,1.0198039027185568,-88.0,-87.0,-85.0,-1732.0,-78.0,0.6324555320336759,-79.0,-78.0,-77.0,-1560.0
-0.6564000000000001,0.06021826965298819,-0.736,-0.673,-0.532,-13.128000000000002,0.3722,0.04890766811043029,0.294,0.368,0.48,7.444,0.6636,0.04170179852236591,0.604,0.653,0.78,13.272,-88.2,2.993325909419153,-93.0,-89.0,-85.0,-1764.0,,,,,,0.0,-89.6,1.624807680927192,-92.0,-89.0,-88.0,-1792.0,-82.6,7.418894796396562,-97.0,-81.0,-77.0,-1652.0
-0.7076999999999999,0.011050339361304711,-0.728,-0.707,-0.69,-14.153999999999998,0.3843,0.027087081791880054,0.326,0.396,0.414,7.685999999999999,0.5921000000000001,0.022737414100992247,0.566,0.585,0.658,11.842,-91.6,2.4166091947189146,-94.0,-92.0,-87.0,-1832.0,,,,,,0.0,-83.5,4.924428900898052,-92.0,,-80.0,-1336.0,-83.0,0.6324555320336759,-84.0,-83.0,-82.0,-1660.0
-0.7125,0.005722761571129804,-0.722,-0.712,-0.706,-14.25,0.4024,0.00682934843158554,0.386,0.404,0.414,8.048,0.5735,0.006808083430746127,0.562,0.574,0.588,11.47,-91.8,0.9797958971132714,-93.0,-91.0,-91.0,-1836.0,,,,,,0.0,-80.0,0.6324555320336759,-81.0,-80.0,-79.0,-1600.0,-83.0,0.0,-83.0,-83.0,-83.0,-1660.0
-0.7109,0.00519519008314422,-0.72,-0.712,-0.704,-14.218,0.40680000000000005,0.005599999999999982,0.398,0.408,0.414,8.136000000000001,0.5736,0.007709734106958538,0.556,0.574,0.59,11.472,-91.2,0.4,-92.0,-91.0,-91.0,-1824.0,,,,,,0.0,-80.0,0.0,-80.0,-80.0,-80.0,-1600.0,-83.4,0.7999999999999999,-85.0,-83.0,-83.0,-1668.0
