acceleration_x_mean,acceleration_x_std,acceleration_x_min,acceleration_x_median,acceleration_x_max,acceleration_x_sum,acceleration_y_mean,acceleration_y_std,acceleration_y_min,acceleration_y_median,acceleration_y_max,acceleration_y_sum,acceleration_z_mean,acceleration_z_std,acceleration_z_min,acceleration_z_median,acceleration_z_max,acceleration_z_sum,rssi_Kitchen_AP_mean,rssi_Kitchen_AP_std,rssi_Kitchen_AP_min,rssi_Kitchen_AP_median,rssi_Kitchen_AP_max,rssi_Kitchen_AP_sum,rssi_Lounge_AP_mean,rssi_Lounge_AP_std,rssi_Lounge_AP_min,rssi_Lounge_AP_median,rssi_Lounge_AP_max,rssi_Lounge_AP_sum,rssi_Upstairs_AP_mean,rssi_Upstairs_AP_std,rssi_Upstairs_AP_min,rssi_Upstairs_AP_median,rssi_Upstairs_AP_max,rssi_Upstairs_AP_sum,rssi_Study_AP_mean,rssi_Study_AP_std,rssi_Study_AP_min,rssi_Study_AP_median,rssi_Study_AP_max,rssi_Study_AP_sum
0.9392000000000001,0.012237646832622658,0.896,0.944,0.952,18.784000000000002,-0.2797,0.007022107945624289,-0.292,-0.28,-0.266,-5.594,0.14609999999999998,0.008061637550770934,0.13,0.144,0.16,2.9219999999999997,-91.6,1.624807680927192,-94.0,-91.0,-90.0,-1832.0,-89.8,2.6381811916545836,-95.0,-89.0,-88.0,-1796.0,-79.2,0.39999999999999997,-80.0,-79.0,-79.0,-1584.0,,,,,,0.0
0.9380000000000001,0.010881176406988326,0.904,0.943,0.946,18.76,-0.28140000000000004,0.008199999999999983,-0.298,-0.282,-0.268,-5.628000000000001,0.1426,0.006988562083862456,0.128,0.142,0.158,2.852,-91.8,1.4696938456699067,-94.0,-91.0,-90.0,-1836.0,-88.5,0.5,-89.0,,-88.0,-1416.0,-79.6,0.4898979485566356,-80.0,-80.0,-79.0,-1592.0,,,,,,0.0
0.9404,0.010461357464497587,0.91,0.942,0.952,18.808,-0.27640000000000003,0.005713142742834271,-0.286,-0.276,-0.264,-5.5280000000000005,0.14540000000000003,0.008248636250920508,0.128,0.146,0.158,2.9080000000000004,-92.4,1.854723699099141,-95.0,-92.0,-90.0,-1848.0,-88.0,0.6324555320336759,-89.0,-88.0,-87.0,-1760.0,-79.4,0.4898979485566356,-80.0,-79.0,-79.0,-1588.0,,,,,,0.0
0.9440999999999999,0.005271622141238866,0.926,0.944,0.954,18.881999999999998,-0.26830000000000004,0.008056674251823765,-0.282,-0.27,-0.252,-5.3660000000000005,0.14040000000000002,0.010248902380255161,0.112,0.142,0.156,2.8080000000000003,-90.0,2.0,-93.0,-90.0,-87.0,-1800.0,-87.8,0.7483314773547882,-89.0,-88.0,-87.0,-1756.0,-81.6,2.2449944320643644,-86.0,-81.0,-80.0,-1632.0,,,,,,0.0
0.9424000000000001,0.011429785649783614,0.902,0.945,0.952,18.848000000000003,-0.2603000000000001,0.025684820419851102,-0.282,-0.266,-0.154,-5.206000000000001,0.1295,0.010860478810807558,0.098,0.13,0.144,2.59,-86.0,0.8944271909999159,-87.0,-86.0,-85.0,-1720.0,-88.2,2.1354156504062622,-92.0,-87.0,-86.0,-1764.0,-84.8,2.3151673805580453,-88.0,-85.0,-81.0,-1696.0,,,,,,0.0
0.96,0.020519567041703077,0.93,0.956,0.998,18.24,-0.22326315789473683,0.02134637182351373,-0.27,-0.226,-0.19,-4.242,0.03242105263157895,0.047375671959654655,-0.058,0.038,0.102,0.616,-91.6842105263158,7.086329549350245,-101.0,-91.0,-81.0,-1742.0,-87.2,4.833218389437829,-95.0,,-83.0,-1308.0,-87.94736842105263,3.136771458052914,-93.0,-87.0,-85.0,-1671.0,,,,,,0.0
0.9599000000000002,0.03551605270859923,0.91,0.958,1.02,19.198000000000004,-0.1891,0.11375143955133052,-0.362,-0.221,0.034,-3.782,0.0237,0.10384464357876144,-0.116,-0.015,0.2,0.474,-95.2,5.706137047074843,-100.0,-99.0,-86.0,-1904.0,-83.0,4.2895221179054435,-90.0,-84.0,-78.0,-1660.0,-89.0,5.656854249492381,-100.0,-87.0,-84.0,-1780.0,,,,,,0.0
0.9512,0.04820124479720416,0.894,0.946,1.12,19.024,-0.2575,0.07230456417128867,-0.362,-0.253,-0.09,-5.15,0.0729,0.061567767541141204,-0.014,0.059000000000000004,0.216,1.4580000000000002,-94.8,5.3814496188294845,-103.0,-95.0,-89.0,-1896.0,-79.2,0.9797958971132714,-80.0,-80.0,-78.0,-1584.0,-93.2,5.635601121442148,-101.0,-90.0,-88.0,-1864.0,,,,,,0.0
0.9550000000000001,0.021637929660667608,0.92,0.96,0.988,19.1,-0.24230000000000002,0.07154376283087156,-0.378,-0.221,-0.136,-4.846,0.0627,0.02070048308615043,0.038,0.059,0.112,1.2540000000000002,-92.4,4.882622246293481,-101.0,-91.0,-87.0,-1848.0,-81.8,2.2271057451320093,-86.0,-81.0,-80.0,-1636.0,-90.0,4.183300132670378,-97.0,,-86.0,-1440.0,,,,,,0.0
0.9443999999999999,0.013792751719653303,0.91,0.946,0.962,18.887999999999998,-0.2612,0.029178073959739016,-0.334,-0.258,-0.218,-5.224,0.09080000000000002,0.008930845424706442,0.066,0.093,0.102,1.8160000000000003,-96.0,2.0,-98.0,,-94.0,-1536.0,-80.4,1.0198039027185568,-82.0,-80.0,-79.0,-1608.0,-94.4,1.7435595774162693,-97.0,-95.0,-92.0,-1888.0,,,,,,0.0
